Name,Color,CMC,Cost,Rarity,Type 1,Type 2,Sub Type 1,Sub Type 2,P,T,Text,SM,SM#,LR,LR#,DA
Battlefield Promostion,W,2,1W,C,,Instant,,,,,Put a +1/+1 counter on target creature. That creature gains first strike until end of turn. You gain 2 life.,C+,2.33,C,2,178
Guild Globe,-,2,2,C,,Artifact,,,,,"When Guild Globe enters the battlefield, draw a card.
 2, T: Sacrifice Guild Globe: Add two mana of different colors.",D-,0.66,C-,1.66,181
Sarkhan's Catharsis,R,5,4R,C,,Instant,,,,,Sarkhan's Catharsis deals 5 damage to target player or planeswalker,D,1,D,1,182
Gateway Plaza,-,-,-,-,,Land,,,,,"Gateway Plaza enters the battlefield tapped.
 When Gateway Plaza enters the battlefield, sacrifice it unles you pay 1
 T: Add one mana of any color.",D,1,D,1,183
Honor the God-Pharaoh,R,3,2R,C,,Sorcery,,,,,"As an additional cost to cast this spell, discard a card.
 Draw two cards. Amass 1",C-,1.66,D/C-,1.33,184
Ashiok's Skulker,U,5,4U,C,,Creature,Nightmare,,3,5,3U: Ashiok's Skulker can't be blocked this turn.,C+,2.33,C-,1.66,185
Crush Dissent,U,4,3U,C,,Instant,,,,,"Counter target spell unless its controller pays 2
 Amass 2",C,2,C-,1.66,186
Saheeli's Silverwing,-,4,4,C,Artifact,Creature,Drake,,2,3,"Flying
 When Saheeli's Silverwing enters the battlefield, look at the top card of target opponent's library.",D+,1.33,D,1,189
Contentious Plan,U,2,1U,C,,Sorcery,,,,,"Proliferate
 Draw a card",C+,2.33,D+,1.33,191
Kiora's Dambreaker,U,6,5U,C,,Creature,Leviathan,,5,6,"When Kiora's Dambreaker enters the battlefield, proliferate.",C,2,D+,1.33,193
Duskmantle Operative,B,2,1B,C,,Creature,Human,Rogue,2,2,Duskmantle Operative can't be blocked by a creature with power 4 or greater.,C-,1.66,D,1,194
Wardscale Crocodile,G,5,4G,C,,Creature,Crocodile,,5,3,Hexproof,C,2,D,1,196
Teferi's Time Twist,U,2,1U,C,,Instant,,,,,"Exile target permanent you control. Return that card to the battlefield under its owner's control at the beginning of the next end step. If it enters the battlefield as a creature, it enters with an additional +1/+1 counter on it.",C,2,D+,1.33,197
Courage in Crisis,G,3,2G,C,,Sorcery,,,,,"Put a +1/+1 counter on target creature, then proliferate.",C+,2.33,D,1,200
Toll of the Invasion,B,3,2B,C,,Sorcery,,,,,"Target opponent reveals their hand. You choose a nonland card from it. That player discards that card.
 Amass 1.",D+,1.33,C+,2.33,203
Grim Initiate,R,1,R,C,,Creature,Zombie,Warrior,1,1,"First Strike
 When Grim Iniate dies, amass 1",D+,1.33,C-,1.66,204
Totally Lost,U,5,4U,C,,Instant,,,,,Put target nonland permanent on top of its owner's library.,D+,1.33,D+,1.33,205
Teyo's Lightshield,W,3,2W,C,,Creature,Illusion,,0,3,"When Teyo's Lightshield enters the battlefield, put a +1/+1 on target creature you control.",D,1,C,2,206
Vampire Opportunist,B,2,1B,C,,Creature,Vampire,,2,1,6B: each opponent loses 2 life and you gain 2 life.,C-,1.66,C-,1.66,207
Goblin Assault Team,R,4,3R,C,,Creature,Goblin,Warrior,4,1,"Haste
 When Goblin Assault Team dies, put a +1/+1 counter on target creature you control.",D,1,D,1,209
Lazotep Behemoth,B,5,4B,C,,Creature,Zombie,Hippo,5,4,,D,1,D/C-,1.33,210
Defiant Strike,W,1,W,C,,Instant,,,,,"Target creature gets +1/+0 until end of turn.
 Draw a card.",D+,1.33,D,1,214
Relentless Advance,U,4,3U,C,,Sorcery,,,,,Amass 3,C,2,C,2,218
Prismite,-,2,2,C,Artifact,Creature,,,2,1,2: Add 1 mana of any color,D,1,D,1,219
Unlikely Aid,B,2,1B,C,,Instant,,,,,Target creature gets +2/+0 and gains indestructible until end of turn.,D+,1.33,D+,1.33,221
Charity Extractor,B,4,3B,C,,Creature,Human,Knight,1,5,Lifelink,C-,1.66,C-,1.66,222
Bulwark Giant,W,6,5W,C,,Creature,Giant,Soldier,3,6,"When Bulwark Giant enters the battlefield, you gain 5 life.",D+,1.33,D/D+,1.25,223
Kaya's Ghostform,B,1,B,C,,Enchantment,Aura,,,,"Enchant creature or planeswalker you control
 When enchanted permanent dies or is put into exile, return that card to the battlefield under your control.",D,1,D,1,225
Arboreal Grazer,G,1,G,C,,Creature,Beast,,0,3,"Reach
 When Arboreal Grazer enter the battlefield, you may put a land card from your hand onto the battlefield tapped.",D,1,F,0,227
Blindblast,R,3,2R,C,,Instant,,,,,"Blindblast deals 1 damage to target creature. That creature can't block this turn.
 Draw a card.",D+,1.33,D+,1.33,228
Loxodon Sergeant,W,4,3W,C,,Creature,Elephant,Soldier,3,3,"Vigilance
 When Loxodon Sergeant enter the battlefield, other creatures you control gain vigilance until end of turn.",C-,1.66,D+,1.33,229
Primordial Wurm,G,6,4GG,C,,Creature,Wurm,,7,6,,D+,1.33,D,1,230
Forced Landing,G,2,1G,C,,Instant,,,,,Put target creature with flying on the bottom of its owners library.,S,1,S,1,231
Samut's Sprint,R,1,R,C,,Instant,,,,,Target creature gets +2/+1 and gains haste until end of turn. Scry 1.,D+,1.33,F,0,233
Topple the Statue,W,3,2W,C,,Instant,,,,,"Tap target permanent. If it's an artifact, destroy it.
 Draw a card.",S,1,S,1,234
Davriel's Shadowfugue,B,4,3B,C,,Sorcery,,,,,Target player discards two cards and loses 2 life.,S,1,D,1,235
Wall of Runes,U,1,U,C,,Creature,Wall,,0,4,"Defender
 When Wall of Runes enters the battlefield, scry 1",D+,1.33,F,0,236
Gideon's Sacrifice,W,1,W,C,,Instant,,,,,Choose a creature or planeswalker you control. All damage that would be dealt this turn to you and permanents you control is dealt to the chosen permanent instead (if it is still on the battlefield).,F,0,F,0,237
Charmed Stray,W,1,W,C,,Creature,Cat,,1,1,"Lifelink
 When Charmed Stray enters the battlefield, put a +1/+1 counter on each other creature you control named Charmed Stray.",D+,1.33,D-,0.66,239
Steady Aim,G,2,1G,C,,Instant,,,,,Untap target creature. It gets +1/+4 and gains reach until end of turn.,D+,1.33,D-,0.66,240
Ironclad Krovod,W,4,3W,C,,Creature,Beast,,2,5,,C-,1.66,D,1,242
Goblin Assailant,R,2,1R,C,,Creature,Goblin,Warrior,2,2,,D+,1.33,D,1,243
Return to Nature,G,2,1G,C,,Instant,,,,,"Choose one - 
 - Destroy target artifact
 - Destroy target enchantment
 - Exile target card from a graveyard",S,1,S,1,244
Nahiri's Stoneblades,R,2,1R,C,,Instant,,,,,Up to two target creatures each get +2/+0 until end of turn.,D,1,F,0,246
Naga Eternal,U,3,2U,C,,Creature,Zombie,Naga,3,2,,D+,1.33,D-,0.66,247
Banehound,B,1,B,C,,Creature,Nightmare,Hound,1,1,"Lifelink, Haste",BA,1,F,0,248
Demolish,R,4,3R,C,,Sorcery,,,,,Destroy target artifact or land,F,0,F,0,249
